,FIELDID,Year,Common_Name,Quanity,COMID
574,mid3,1995,common_carp,2,10849648
575,min2,1995,creek_chub,277,10849378
576,mn-4,1995,white_sucker,33,10850152
577,mn-5,1995,common_shiner,11,10849484
578,mn-7a,1995,largemouth_bass,12,10850152
579,mr-1,1995,green_sunfish,19,10850296
580,mr-17,1995,bluegill,1,10849642
581,mr-18,1995,johnny_darter,11,10849622
582,mr-7,1995,central_stoneroller,40,10850156
583,mr-8,1995,common_carp,2,10850156
584,nfowl,1995,pumpkinseed,1,10849780
585,peb3,1995,mottled_sculpin,1,10848526
586,peb4,1995,fathead_minnow,11,10849412
587,see1,1995,bluegill,6,10848516
588,ton3,1995,central_mudminnow,19,10849700
589,up2,1995,creek_chub,29,10849602
590,up6,1995,brook_stickleback,1,10849602
591,ur-4,1995,white_sucker,26,10849602
592,wall1,1995,creek_chub,1,10849464
593,wall2,1995,fathead_minnow,25,10849416
594,wall5,1995,green_sunfish,3,10849382
595,md-2,1995,largemouth_bass,2,10849464
596,bishopcr10,1986,central_mudminnow,2,10849424
597,u-7,1986,mottled_sculpin,29,10849532
598,upper5,1986,common_shiner,6,10849374
599,dnr9,1986,central_stoneroller,2,10848522
600,tonquishcreek17,1972,white_sucker,1,10849668
601,evan5,1986,blacknose_dace,29,10849456
602,fowl5,1986,bluegill,1,10849784
603,frank1,1986,largemouth_bass,1,10848522
604,main18,1986,northern_hog_sucker,13,10848472
605,mid3,1986,stonecat,1,10849648
606,ton3,1986,redside_dace,1,10849700
607,ur-4,1986,creek_chub,17,10849602
608,upper5,1986,white_sucker,7,10849374
609,bell1,1986,green_sunfish,3,10849560
610,bell2,1986,common_shiner,5,10849554
611,bell3,1986,fathead_minnow,8,10849560
612,bell4,1986,creek_chub,5,10849564
613,bish2,1986,white_sucker,25,10849426
614,cl,1986,goldfish,1,10849488
615,dnrnfel,1986,pumpkinseed,2,10849706
616,evan1,1986,sunfish_hybrid,3,10848534
617,evan2,1986,bluegill,1,10850126
618,evan3,1986,largemouth_bass,1,10849456
619,evan4,1986,brown_bullhead,1,10849482
620,evan5,1986,central_mudminnow,1,10849456
621,fel1,1986,fathead_minnow,2,10849646
