"","FIELDID","COMID","DateSampled","TotalFish","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score","Total_score"
"73","mr-8","10850156",1995,11,6,0,1,1,1,81.8181818181818,81.8181818181818,9.09090909090909,54.5454545454545,9.09090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,1,1,NA
"74","nfowl","10849780",1972,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA
"75","peb3","10848526",1995,116,7,0,0,1,1,80.1724137931034,80.1724137931034,0,22.4137931034483,17.2413793103448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"76","peb4","10849412",1972,99,7,0,2,1,0,82.8282828282828,82.8282828282828,0,75.7575757575758,17.1717171717172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,1,NA
"77","thorton12","10849466",1972,16,5,0,2,1,0,56.25,62.5,0,25,37.5,4,4.8,3.04,0.88,0.44,0.68,0.34,0.56,0.264,0.76,0.384,39,75,31,72,62,15,3,1,47,1,1,-1,1,1,-1,1,1,0,-1,0,2
"78","ton3","10849700",1972,3,2,0,1,0,0,66.6666666666667,66.6666666666667,0,0,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,-1,NA
"79","ton3","10849700",1995,137,11,0,3,1,0,78.1021897810219,57.6642335766423,0,36.4963503649635,42.3357664233577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"80","tonquishcreek17","10849668",1972,2,1,0,0,0,0,100,100,0,0,0,22.4350398,14,10,3,2,3,2,2,2,4.262657562,2.1537638208,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-6
"81","tonquishcreek17","10849668",1986,106,6,0,0,1,0,99.0566037735849,99.0566037735849,0,20.7547169811321,0.943396226415094,22.4350398,14,10,3,2,3,2,2,2,4.262657562,2.1537638208,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-5
"82","tonquishcreek17","10849668",1995,125,10,0,4,1,0,84.8,64,1.6,38.4,34.4,22.4350398,14,10,3,2,3,2,2,2,4.262657562,2.1537638208,39,75,31,72,62,15,3,1,47,1,0,-1,1,-1,-1,1,1,0,0,0,0
