"","Branch","FIELDID","StreamName","Year","DateSampled","Common_Name","Quanity","Length","Final_FIELDID","COMID"
"229","Lower","l-1","Lower Rouge",1986,"7/23/86","black bullhead",1,"450ft","low4","10849774"
"230","Lower","l-1","Lower Rouge",1986,"7/23/86","northern redbelly dace",1,"450ft","low4","10849774"
"231","Lower","l-2","Lower Rouge",1986,"7/25/86","creek chub",27,"450ft","low6","10849810"
"232","Lower","l-2","Lower Rouge",1986,"7/25/86","white sucker",73,"450ft","low6","10849810"
"233","Lower","l-2","Lower Rouge",1986,"7/25/86","common carp",4,"450ft","low6","10849810"
"234","Lower","l-2","Lower Rouge",1986,"7/25/86","green sunfish",11,"450ft","low6","10849810"
"235","Lower","l-2","Lower Rouge",1986,"7/25/86","central mudminnow",14,"450ft","low6","10849810"
"236","Lower","l-2","Lower Rouge",1986,"7/25/86","common shiner",4,"450ft","low6","10849810"
"237","Lower","l-2","Lower Rouge",1986,"7/25/86","johnny darter",5,"450ft","low6","10849810"
"238","Lower","l-2","Lower Rouge",1986,"7/25/86","gizzard shad",1,"450ft","low6","10849810"
"239","Lower","l-2","Lower Rouge",1986,"7/25/86","fathead minnow",1,"450ft","low6","10849810"
"240","Lower","l-2","Lower Rouge",1986,"7/25/86","brook stickleback",1,"450ft","low6","10849810"
"241","Lower","l-3","Lower Rouge",1986,"7/25/86","carpgoldfish hybrid",14,"0","low14","10850162"
"242","Lower","l-3","Lower Rouge",1986,"7/25/86","pumpkinseed",1,"0","low14","10850162"
"243","Lower","l-3","Lower Rouge",1986,"7/25/86","central mudminnow",3,"0","low14","10850162"
"244","Lower","l-3","Lower Rouge",1986,"7/25/86","fathead minnow",1,"0","low14","10850162"
"245","Lower","l-4","Lower Rouge",1986,"7/25/86","central mudminnow",11,"450ft","lr-11","10850162"
"246","Lower","l-4","Lower Rouge",1986,"7/25/86","common carp",14,"450ft","lr-11","10850162"
"247","Lower","l-4","Lower Rouge",1986,"7/25/86","white sucker",3,"450ft","lr-11","10850162"
"248","Lower","l-4","Lower Rouge",1986,"7/25/86","fathead minnow",1,"450ft","lr-11","10850162"
"249","Lower","l-4","Lower Rouge",1986,"7/25/86","goldfish",1,"450ft","lr-11","10850162"
"250","Lower","l-4","Lower Rouge",1986,"7/25/86","carpgoldfish hybrid",3,"450ft","lr-11","10850162"
"251","Main","mn-1dnr","Main Branch",1986,"7/28/86","creek chub",80,"0","main18","10848472"
"252","Main","mn-1dnr","Main Branch",1986,"7/28/86","white sucker",24,"0","main18","10848472"
"253","Main","mn-1dnr","Main Branch",1986,"7/28/86","central stoneroller",41,"0","main18","10848472"
"254","Main","mn-1dnr","Main Branch",1986,"7/28/86","common carp",3,"0","main18","10848472"
"255","Main","mn-1dnr","Main Branch",1986,"7/28/86","rock bass",30,"0","main18","10848472"
"256","Main","mn-1dnr","Main Branch",1986,"7/28/86","pumpkinseed",4,"0","main18","10848472"
"257","Main","mn-1dnr","Main Branch",1986,"7/28/86","green sunfish",5,"0","main18","10848472"
"258","Main","mn-1dnr","Main Branch",1986,"7/28/86","bluntnose minnow",13,"0","main18","10848472"
"259","Main","mn-1dnr","Main Branch",1986,"7/28/86","bluegill",4,"0","main18","10848472"
"260","Main","mn-1dnr","Main Branch",1986,"7/28/86","largemouth bass",6,"0","main18","10848472"
